TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
35954MMCHMRT3BO,GIANT RESOURCE RECOVERY-ATTALLA INC,1229 VALLEY DR,ATTALLA,ETOWAH,AL,35954,34.083429,-86.024417,N-BUTYL ALCOHOL
36590DLBSC3051H,HOLCIM (US) INC - THEODORE A L PLANT,3051 HAMILTON BLVD,THEODORE,MOBILE,AL,36582,30.5349,-88.1121,DIOXIN AND DIOXIN-LIKE COMPOUNDS
36201MDNKP104NA,FLINT GROUP NA CORP,104 NATIONAL DR,ANNISTON,CALHOUN,AL,36207,33.61907,-85.7705,ZINC COMPOUNDS
36607SHLND701WE,NEXEO SOLUTIONS LLC,701 WESTERN DR,MOBILE,MOBILE,AL,36607,30.71183,-88.11465,DIBUTYL PHTHALATE
36607SHLND701WE,NEXEO SOLUTIONS LLC,701 WESTERN DR,MOBILE,MOBILE,AL,36607,30.71183,-88.11465,METHANOL
35631NCHLS1547H,KAISER ALUMINUM FABRICATED PRODUCTS FLORENCE ALABAMA PLANT,1547 HELTON DR,FLORENCE,LAUDERDALE,AL,35630,34.82436,-87.66693,COPPER
3521WKMTKN1595S,KAMTEK INC,1595 STERILITE DR,BIRMINGHAM,JEFFERSON,AL,35215,33.63788,-86.738973,NICKEL
36512HCHSTHIGHW,US AMINES (BUCKS) LLC,14086 HWY 43 N,AXIS,MOBILE,AL,36505,30.985223,-88.026254,AMMONIA
36105HGRHN150FO,HAGER COS,150 FOLMAR PKWY,MONTGOMERY,MONTGOMERY,AL,36105,32.26203,-86.36716,COPPER COMPOUNDS
36613MBLSLKUSHL,MOBILE SOLVENT &  SUPPLY,5750 KUSHLA MCLEOD RD,EIGHT MILE,MOBILE,AL,36613,30.816389,-88.183056,CHLORINE
36618MDSTRHWY90,MARTIN ENERGY SERVICES - BLAKELEY ISLAND,1231 COCHRAN BRIDGE CAUSEWAY,MOBILE,MOBILE,AL,36610,30.720664,-88.035869,POLYCYCLIC AROMATIC COMPOUNDS
35217KNTCRHWY79,KENT CORP,4446  PINSON VALLEY PKWY HWY 79 & KENT RD,BIRMINGHAM,JEFFERSON,AL,35215,33.65163,-86.716533,LEAD
35217KNTCRHWY79,KENT CORP,4446  PINSON VALLEY PKWY HWY 79 & KENT RD,BIRMINGHAM,JEFFERSON,AL,35215,33.65163,-86.716533,MANGANESE
35592MRTHNPOBOX,MARATHON EQUIPMENT CO (DELAWARE),COUNTY HWY 9 S,VERNON,LAMAR,AL,35592,33.724555,-88.119752,CHROMIUM
35592MRTHNPOBOX,MARATHON EQUIPMENT CO (DELAWARE),COUNTY HWY 9 S,VERNON,LAMAR,AL,35592,33.724555,-88.119752,NICKEL
