TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
33178SFTYK8755N,SAFETY-KLEEN SYSTEMS (309702),8755 NW 95TH ST,MEDLEY,MIAMI-DADE,FL,33178,25.860432,-80.340403,LEAD
33316PRTVR1400S,CHEVRON PORT EVERGLADES TERMINAL,1400 SE 24TH ST,FORT LAUDERDALE,BROWARD,FL,33316,26.092342,-80.128412,XYLENE (MIXED ISOMERS)
33316PRTVR1400S,CHEVRON PORT EVERGLADES TERMINAL,1400 SE 24TH ST,FORT LAUDERDALE,BROWARD,FL,33316,26.092342,-80.128412,LEAD
32810RBBNS7205R,ROBBINS MANUFACTURING CO,7205 ROSE AVE,ORLANDO,ORANGE,FL,32810,28.621397,-81.442072,COPPER COMPOUNDS
32091DPNTCSTATE,DUPONT CHEMICALS - STARKE FACILITY,STATE RD 230 E,STARKE,CLAY,FL,32091,29.92338,-82.06255,MERCURY COMPOUNDS
32091DPNTCSTATE,DUPONT CHEMICALS - STARKE FACILITY,STATE RD 230 E,STARKE,CLAY,FL,32091,29.92338,-82.06255,LEAD COMPOUNDS
3371WSTPTR6124T,CEMEX ST PETERSBURG SOUTH,601 24TH ST S,SAINT PETERSBURG,PINELLAS,FL,33712,27.76379,-82.66572,LEAD COMPOUNDS
32821SNCPR1854C,SONOCO PRODUCTS CO,1854 CENTRAL FLORIDA PKWY,ORLANDO,ORANGE,FL,32837,28.406618,-81.401172,METHYL ISOBUTYL KETONE
32096CCDNTSTATE,PCS PHOSPHATE WHITE SPRINGS,CR 137 15843 SE 78 ST,WHITE SPRINGS,HAMILTON,FL,320960300,30.408106,-82.787465,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)
32096CCDNTSTATE,PCS PHOSPHATE WHITE SPRINGS,CR 137 15843 SE 78 ST,WHITE SPRINGS,HAMILTON,FL,320960300,30.408106,-82.787465,MANGANESE COMPOUNDS
32096CCDNTSTATE,PCS PHOSPHATE WHITE SPRINGS,CR 137 15843 SE 78 ST,WHITE SPRINGS,HAMILTON,FL,320960300,30.408106,-82.787465,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)"""
3399WMRNCN2443S,MARINE CONCEPTS DBA JRL VENTURES,2443 SW PINE ISLAND RD,CAPE CORAL,LEE,FL,33991,26.63746,-82.02589,DIISOCYANATES
3221WTRMCM122EA,TARMAC AMERICA-EASTPORT ROAD RMC PLANT,1220 EASTPORT RD,JACKSONVILLE,DUVAL,FL,32218,30.443542,-81.612115,NITRATE COMPOUNDS
3221WTRMCM122EA,TARMAC AMERICA-EASTPORT ROAD RMC PLANT,1220 EASTPORT RD,JACKSONVILLE,DUVAL,FL,32218,30.443542,-81.612115,LEAD
32544SRFRC16CES,US DOD USAF HURLBURT FIELD,"1 SOCES/CEIE BUILDING 90053, 415 INDEPENDENCE RD",HURLBURT FIELD,OKALOOSA,FL,32544,30.4136,-86.6942,LEAD
3217WLFRGN886NR,CONTINENTAL PALATKA LLC,886 N HWY 17,PALATKA,PUTNAM,FL,32177,29.741667,-81.641667,LEAD COMPOUNDS
33411CNSLD1782S,PORT CONSOLIDATED INC,1782 SKEES RD,WEST PALM BEACH,PALM BEACH,FL,33411,26.70466,-80.15782,BENZENE
3347WLDCST456SU,OLD CASTLE LAWN & GARDEN APG,30075 S HWY 27,MOORE HAVEN,GLADES,FL,334711127,26.774618,-81.081955,LEAD COMPOUNDS
32034TTRYNFOOTO,RAYONIER PERFORMANCE FIBERS LLC,10 GUM ST,FERNANDINA BEACH,NASSAU,FL,32034,30.662356,-81.47105,AMMONIA
32034TTRYNFOOTO,RAYONIER PERFORMANCE FIBERS LLC,10 GUM ST,FERNANDINA BEACH,NASSAU,FL,32034,30.662356,-81.47105,METHANOL
32034TTRYNFOOTO,RAYONIER PERFORMANCE FIBERS LLC,10 GUM ST,FERNANDINA BEACH,NASSAU,FL,32034,30.662356,-81.47105,ACETALDEHYDE
33619VNWTR6049O,UNIVAR USA INC TAMPA FACILITY,6049 OLD 41A HWY,TAMPA,HILLSBOROUGH,FL,336199796,27.95353,-82.50754,ETHYLBENZENE
33619VNWTR6049O,UNIVAR USA INC TAMPA FACILITY,6049 OLD 41A HWY,TAMPA,HILLSBOROUGH,FL,336199796,27.95353,-82.50754,METHYL ISOBUTYL KETONE
