FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
TRINITY HIGHWAY PRODUCTS LLC PLT 1533,2361 ATTALA RD 2202,KOSCIUSKO,ATTALA,MS,39090,33.087629,-89.565632,COPPER
WINCHESTER - OPERATIONS OXFORD MS,411 COUNTY RD 101,OXFORD,LAFAYETTE,MS,38655,34.406028,-89.5205,NITRATE COMPOUNDS
WINCHESTER - OPERATIONS OXFORD MS,411 COUNTY RD 101,OXFORD,LAFAYETTE,MS,38655,34.406028,-89.5205,COPPER
WINCHESTER - OPERATIONS OXFORD MS,411 COUNTY RD 101,OXFORD,LAFAYETTE,MS,38655,34.406028,-89.5205,LEAD COMPOUNDS
DESOTO TREATED MATERIALS INC,941 S MAGNOLIA DR,WIGGINS,STONE,MS,39577,30.847222,-89.166667,ARSENIC COMPOUNDS
DESOTO TREATED MATERIALS INC,941 S MAGNOLIA DR,WIGGINS,STONE,MS,39577,30.847222,-89.166667,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)
DESOTO TREATED MATERIALS INC,941 S MAGNOLIA DR,WIGGINS,STONE,MS,39577,30.847222,-89.166667,COPPER COMPOUNDS
SUPERIOR ASPHALT BYRAM PLANT,6000 I-55 S,BYRAM,HINDS,MS,39272,32.18064,-90.25835,POLYCYCLIC AROMATIC COMPOUNDS
C L DEWS & SONS FOUNDRY & MACHINERY CO INC,1600 EDWARDS ST,HATTIESBURG,FORREST,MS,39401,31.304028,-89.284889,LEAD
JS BAILEY INC,5454 I-55 S FRONTAGE RD,JACKSON,HINDS,MS,39212,32.192687,-90.251559,XYLENE (MIXED ISOMERS)
GULF SHIP LLC,12351 GLASCOCK DR,GULFPORT,HARRISON,MS,39503,30.4298,-89.04365,METHANOL
KIOR COLUMBUS LLC,600 INDUSTRIAL PARK ACCESS RD,COLUMBUS,LOWNDES,MS,39701,33.471611,-88.436582,NAPHTHALENE
NORBORD MISSISSIPPI LLC,1194 HWY 145,GUNTOWN,LEE,MS,38849,34.463894,-88.651408,METHANOL
SKYLINE STEEL LLC - IUKA,77 COUNTY RD 351,IUKA,TISHOMINGO,MS,38852,34.973204,-88.236302,NICKEL
SKYLINE STEEL LLC - IUKA,77 COUNTY RD 351,IUKA,TISHOMINGO,MS,38852,34.973204,-88.236302,MANGANESE
HARCROS CHEMICALS INC,4280 RIFLE RANGE RD,VICKSBURG,WARREN,MS,39180,32.299167,-90.900556,ETHYLENE GLYCOL
US TVA SOUTHAVEN COMBINED CYCLE PLANT,2882 STATELINE RD W,SOUTHAVEN,DESOTO,MS,38671,34.99179,-90.042271,AMMONIA
MASTER-BILT PRODUCTS,"908 HWY 15, N",NEW ALBANY,UNION,MS,38652,34.542792,-88.990008,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)
MASTER-BILT PRODUCTS,"908 HWY 15, N",NEW ALBANY,UNION,MS,38652,34.542792,-88.990008,"N,N-DIMETHYLFORMAMIDE"
